"age","ageMarried","monthsSinceM","pregnancies","children","sons","region","literacy"
43,"22to25",242,3,3,2,"lt10k","yes"
32,"22to25",124,1,1,0,"lt10k","yes"
22,"15to18",59,1,1,1,"lt10k","yes"
28,"22to25",63,1,1,0,"lt10k","yes"
30,"15to18",169,2,2,2,"lt10k","yes"
37,"18to20",226,2,2,1,"lt10k","yes"
41,"18to20",266,14,15,8,"lt10k","no"
44,"18to20",315,1,1,0,"lt10k","yes"
46,"25to30",239,1,1,0,"lt10k","no"
21,"18to20",30,1,1,0,"lt10k","yes"
42,"20to22",251,1,1,1,"lt10k","yes"
49,"20to22",351,2,2,1,"lt10k","no"
23,"20to22",31,0,0,0,"lt10k","yes"
28,"22to25",73,1,1,0,"lt10k","yes"
24,"18to20",74,2,2,1,"lt10k","yes"
40,"22to25",197,2,2,2,"lt10k","no"
32,"20to22",146,2,2,0,"lt10k","yes"
17,"15to18",16,1,1,1,"lt10k","no"
26,"18to20",81,2,2,1,"lt10k","yes"
40,"20to22",233,1,1,1,"lt10k","no"
34,"22to25",123,2,2,1,"lt10k","yes"
41,"22to25",209,3,3,1,"lt10k","yes"
46,"20to22",311,3,3,2,"lt10k","yes"
18,"15to18",16,1,1,0,"lt10k","yes"
43,"20to22",285,2,2,1,"lt10k","yes"
45,"22to25",270,1,1,0,"lt10k","yes"
48,"18to20",347,2,2,1,"lt10k","yes"
39,"18to20",241,3,3,2,"lt10k","yes"
35,"22to25",159,2,2,1,"lt10k","yes"
27,"25to30",18,1,1,0,"lt10k","yes"
38,"30toInf",99,2,2,1,"lt10k","yes"
36,"18to20",209,0,0,0,"lt10k","yes"
45,"22to25",273,3,3,2,"lt10k","yes"
24,"22to25",1,0,0,0,"lt10k","yes"
30,"18to20",132,2,2,0,"lt10k","yes"
43,"15to18",292,3,3,1,"lt10k","yes"
30,"25to30",64,1,1,1,"lt10k","yes"
47,"18to20",329,3,3,3,"lt10k","yes"
41,"25to30",195,2,2,1,"lt10k","yes"
30,"22to25",74,2,2,1,"lt10k","yes"
32,"22to25",126,1,1,1,"lt10k","yes"
39,"18to20",240,2,2,1,"lt10k","yes"
43,"22to25",162,3,3,2,"lt10k","yes"
46,"20to22",303,1,1,0,"20k+","no"
24,"22to25",22,0,0,0,"20k+","yes"
39,"22to25",184,2,2,1,"20k+","yes"
38,"22to25",191,2,2,2,"20k+","yes"
40,"22to25",219,2,2,2,"20k+","yes"
37,"15to18",209,3,3,3,"20k+","yes"
41,"15to18",297,5,5,3,"20k+","no"
42,"20to22",258,2,2,2,"20k+","yes"
43,"30toInf",135,2,2,2,"20k+","yes"
40,"25to30",145,2,2,1,"20k+","yes"
40,"20to22",238,1,1,1,"20k+","yes"
31,"18to20",163,1,1,1,"20k+","yes"
37,"20to22",193,2,2,1,"20k+","yes"
26,"15to18",97,2,2,0,"20k+","yes"
31,"20to22",123,3,3,3,"20k+","yes"
26,"25to30",22,0,0,0,"20k+","yes"
22,"18to20",43,1,1,1,"20k+","yes"
33,"25to30",84,2,2,1,"20k+","yes"
29,"20to22",99,1,1,1,"20k+","yes"
37,"25to30",151,2,2,1,"20k+","no"
41,"25to30",168,1,1,0,"20k+","yes"
38,"20to22",207,2,2,0,"20k+","yes"
29,"0to15",176,2,2,1,"20k+","yes"
37,"18to20",220,3,3,0,"20k+","yes"
46,"25to30",207,1,1,1,"20k+","yes"
21,"15to18",70,1,1,1,"20k+","yes"
49,"18to20",367,3,3,2,"20k+","yes"
36,"15to18",225,1,1,0,"lt10k","yes"
27,"15to18",95,1,1,1,"lt10k","yes"
24,"20to22",55,3,3,1,"lt10k","yes"
32,"15to18",189,2,2,2,"lt10k","yes"
15,"0to15",11,1,1,0,"lt10k","yes"
36,"15to18",239,2,2,0,"lt10k","yes"
28,"22to25",77,1,1,1,"20k+","yes"
48,"25to30",234,1,1,1,"20k+","no"
44,"18to20",295,1,1,1,"20k+","yes"
43,"20to22",274,2,2,2,"20k+","no"
46,"25to30",229,1,1,0,"20k+","yes"
26,"22to25",50,1,1,1,"20k+","yes"
26,"20to22",65,1,1,1,"20k+","yes"
40,"20to22",175,1,1,1,"20k+","no"
23,"18to20",48,1,1,1,"20k+","yes"
28,"22to25",57,1,1,1,"20k+","yes"
33,"15to18",223,2,2,1,"20k+","yes"
27,"15to18",123,2,2,1,"20k+","yes"
23,"20to22",42,2,2,1,"lt10k","yes"
21,"15to18",48,2,3,1,"lt10k","yes"
22,"18to20",52,3,2,2,"lt10k","yes"
20,"18to20",19,1,1,0,"lt10k","yes"
25,"22to25",38,0,0,0,"lt10k","yes"
28,"22to25",42,0,0,0,"lt10k","yes"
48,"25to30",256,1,1,0,"lt10k","no"
33,"15to18",199,2,2,1,"lt10k","no"
34,"0to15",240,5,5,4,"lt10k","yes"
46,"20to22",312,1,1,0,"lt10k","yes"
42,"22to25",207,2,2,0,"lt10k","yes"
32,"15to18",205,4,4,2,"lt10k","yes"
46,"25to30",222,1,1,1,"lt10k","yes"
33,"22to25",109,2,2,1,"lt10k","yes"
37,"18to20",227,2,2,2,"lt10k","yes"
28,"22to25",73,0,0,0,"lt10k","yes"
27,"25to30",4,0,0,0,"lt10k","yes"
42,"18to20",291,1,1,0,"lt10k","yes"
33,"22to25",103,1,1,0,"lt10k","yes"
22,"18to20",48,2,2,2,"lt10k","yes"
24,"18to20",50,1,0,0,"lt10k","yes"
24,"18to20",57,2,2,2,"lt10k","yes"
35,"18to20",202,6,5,2,"lt10k","yes"
46,"22to25",257,2,2,1,"lt10k","yes"
23,"22to25",17,1,1,0,"lt10k","yes"
36,"15to18",222,4,4,1,"lt10k","yes"
23,"15to18",69,2,2,1,"lt10k","yes"
33,"20to22",154,1,1,1,"lt10k","yes"
30,"20to22",102,1,1,1,"lt10k","yes"
28,"25to30",46,1,1,0,"lt10k","yes"
32,"25to30",66,1,1,0,"lt10k","yes"
33,"22to25",133,1,1,1,"lt10k","yes"
41,"18to20",270,9,9,6,"lt10k","yes"
37,"30toInf",54,0,0,0,"lt10k","yes"
35,"22to25",135,3,3,2,"lt10k","no"
25,"15to18",117,3,3,1,"lt10k","yes"
34,"22to25",119,5,4,1,"lt10k","no"
37,"18to20",231,3,3,1,"lt10k","yes"
39,"20to22",229,2,2,1,"lt10k","yes"
29,"15to18",173,3,3,2,"lt10k","yes"
24,"0to15",125,3,3,2,"lt10k","yes"
30,"20to22",100,2,2,1,"lt10k","yes"
29,"22to25",77,1,1,0,"lt10k","yes"
28,"18to20",127,1,1,1,"lt10k","yes"
39,"18to20",242,4,4,2,"lt10k","yes"
32,"20to22",144,3,3,1,"lt10k","yes"
30,"22to25",64,1,1,1,"lt10k","yes"
34,"22to25",117,2,2,1,"lt10k","yes"
33,"18to20",166,0,0,0,"lt10k","yes"
37,"15to18",248,1,1,1,"lt10k","yes"
41,"25to30",193,2,2,2,"lt10k","yes"
30,"22to25",93,2,2,0,"lt10k","yes"
28,"22to25",58,1,1,0,"lt10k","yes"
49,"25to30",289,2,2,1,"lt10k","yes"
23,"20to22",19,1,1,1,"lt10k","yes"
26,"20to22",76,2,2,2,"lt10k","yes"
20,"18to20",10,1,1,0,"lt10k","yes"
46,"25to30",227,2,2,1,"lt10k","yes"
33,"22to25",106,2,2,0,"lt10k","yes"
42,"22to25",217,0,0,0,"lt10k","yes"
37,"20to22",182,2,2,0,"20k+","yes"
40,"18to20",249,1,1,0,"20k+","yes"
43,"30toInf",133,1,1,1,"20k+","no"
31,"18to20",144,1,1,0,"20k+","yes"
23,"18to20",54,1,1,1,"20k+","yes"
28,"22to25",42,2,2,2,"20k+","yes"
39,"20to22",219,1,1,1,"20k+","yes"
30,"20to22",120,6,6,3,"20k+","yes"
32,"18to20",156,6,6,3,"20k+","yes"
29,"22to25",82,1,1,1,"20k+","yes"
39,"22to25",189,2,2,1,"20k+","yes"
43,"22to25",244,4,4,1,"20k+","yes"
40,"22to25",219,2,2,1,"20k+","yes"
46,"22to25",291,0,0,0,"20k+","yes"
40,"22to25",195,4,4,3,"20k+","yes"
40,"22to25",206,2,2,1,"20k+","yes"
34,"18to20",182,2,2,1,"20k+","yes"
42,"25to30",158,1,1,0,"20k+","yes"
32,"18to20",168,2,2,2,"20k+","yes"
41,"22to25",232,0,0,0,"20k+","yes"
27,"20to22",82,1,1,1,"20k+","yes"
31,"15to18",158,2,2,2,"20k+","yes"
39,"25to30",144,2,2,1,"20k+","yes"
25,"20to22",61,1,1,0,"20k+","yes"
48,"18to20",353,2,2,1,"20k+","yes"
40,"25to30",181,2,2,1,"20k+","yes"
21,"20to22",16,0,0,0,"20k+","yes"
41,"25to30",147,1,1,0,"20k+","yes"
43,"18to20",211,2,2,2,"20k+","yes"
37,"25to30",137,1,1,1,"20k+","yes"
41,"22to25",196,2,2,2,"20k+","yes"
35,"22to25",140,2,2,0,"20k+","yes"
36,"20to22",187,2,2,1,"20k+","yes"
39,"25to30",157,2,2,1,"20k+","yes"
38,"20to22",203,2,2,1,"20k+","yes"
33,"20to22",148,2,2,0,"20k+","yes"
24,"20to22",56,1,1,1,"lt10k","yes"
36,"25to30",130,2,2,0,"lt10k","yes"
31,"22to25",87,2,2,1,"lt10k","yes"
25,"18to20",89,2,2,1,"lt10k","no"
45,"18to20",323,2,2,2,"lt10k","yes"
44,"20to22",277,2,2,1,"lt10k","yes"
46,"20to22",313,1,1,0,"lt10k","yes"
46,"20to22",311,4,4,1,"lt10k","yes"
16,"0to15",32,1,1,1,"lt10k","yes"
45,"20to22",297,1,1,0,"lt10k","yes"
23,"15to18",60,0,0,0,"lt10k","yes"
29,"22to25",82,1,1,1,"lt10k","yes"
41,"18to20",269,2,2,1,"lt10k","yes"
41,"22to25",225,1,1,0,"lt10k","yes"
35,"18to20",205,2,2,1,"lt10k","yes"
38,"20to22",211,1,1,1,"lt10k","yes"
48,"22to25",225,0,0,0,"lt10k","yes"
47,"20to22",307,1,1,0,"lt10k","yes"
21,"20to22",2,1,1,0,"lt10k","yes"
47,"22to25",173,3,3,1,"lt10k","yes"
49,"25to30",287,1,1,1,"lt10k","yes"
26,"15to18",125,2,2,0,"lt10k","yes"
33,"25to30",81,4,5,1,"lt10k","yes"
35,"20to22",174,1,1,1,"10-20k","yes"
48,"22to25",294,2,2,1,"10-20k","no"
43,"20to22",280,2,2,1,"10-20k","yes"
36,"15to18",229,7,7,4,"10-20k","yes"
23,"15to18",93,3,3,0,"10-20k","yes"
26,"18to20",82,4,3,3,"10-20k","no"
49,"15to18",224,11,11,7,"10-20k","yes"
22,"0to15",110,5,4,1,"10-20k","no"
15,"0to15",43,2,1,1,"10-20k","yes"
39,"22to25",205,4,4,2,"10-20k","no"
26,"22to25",58,3,3,1,"10-20k","yes"
33,"18to20",91,1,1,1,"10-20k","yes"
39,"15to18",271,2,2,1,"10-20k","yes"
19,"15to18",19,1,1,1,"10-20k","yes"
42,"25to30",146,2,2,1,"10-20k","yes"
34,"20to22",168,1,1,1,"10-20k","yes"
33,"25to30",99,1,1,0,"10-20k","yes"
25,"22to25",30,1,1,0,"10-20k","yes"
27,"20to22",76,2,2,1,"10-20k","yes"
32,"20to22",145,1,1,0,"10-20k","yes"
24,"18to20",75,2,2,1,"10-20k","yes"
28,"22to25",57,1,1,0,"10-20k","yes"
34,"25to30",106,1,1,1,"10-20k","yes"
25,"20to22",64,1,1,1,"10-20k","yes"
48,"20to22",345,2,2,2,"10-20k","yes"
23,"15to18",83,3,3,1,"10-20k","no"
31,"18to20",139,5,4,2,"10-20k","yes"
30,"22to25",85,1,1,0,"10-20k","yes"
49,"20to22",337,4,4,2,"10-20k","no"
48,"30toInf",176,1,1,1,"10-20k","yes"
40,"30toInf",64,1,1,1,"10-20k","yes"
37,"15to18",268,1,1,1,"10-20k","no"
46,"15to18",365,2,2,0,"10-20k","yes"
31,"15to18",169,3,3,1,"10-20k","yes"
41,"18to20",216,1,1,0,"10-20k","yes"
25,"22to25",16,0,0,0,"20k+","yes"
39,"30toInf",105,1,1,0,"20k+","yes"
30,"15to18",168,2,2,2,"20k+","yes"
33,"25to30",89,1,1,0,"20k+","yes"
48,"18to20",356,1,1,1,"20k+","yes"
36,"18to20",203,2,3,2,"20k+","yes"
35,"15to18",171,1,1,1,"20k+","yes"
48,"20to22",344,1,1,1,"20k+","yes"
42,"18to20",289,2,2,0,"20k+","yes"
42,"25to30",190,1,1,0,"20k+","no"
42,"22to25",221,1,1,1,"20k+","yes"
39,"25to30",152,3,3,0,"20k+","yes"
42,"30toInf",22,0,0,0,"20k+","yes"
47,"22to25",297,1,1,0,"20k+","yes"
45,"18to20",321,2,2,0,"20k+","yes"
26,"20to22",8,1,1,0,"20k+","no"
42,"18to20",272,2,2,1,"20k+","yes"
30,"22to25",81,1,1,0,"20k+","yes"
37,"22to25",158,3,3,2,"20k+","yes"
25,"18to20",75,1,1,1,"20k+","yes"
19,"18to20",15,1,1,0,"20k+","yes"
38,"18to20",239,4,4,2,"20k+","yes"
42,"20to22",249,2,2,2,"20k+","yes"
23,"22to25",15,0,0,0,"lt10k","yes"
31,"25to30",41,2,2,1,"lt10k","yes"
47,"18to20",346,1,1,0,"lt10k","yes"
29,"15to18",140,1,1,1,"lt10k","yes"
41,"15to18",316,3,3,1,"lt10k","no"
24,"20to22",46,1,1,0,"lt10k","yes"
43,"25to30",204,2,2,1,"lt10k","no"
33,"0to15",239,4,4,2,"lt10k","no"
29,"22to25",69,2,2,2,"lt10k","yes"
23,"15to18",80,3,3,0,"lt10k","yes"
40,"20to22",234,3,3,2,"lt10k","no"
34,"22to25",134,1,1,1,"lt10k","yes"
46,"20to22",303,1,1,1,"lt10k","yes"
47,"18to20",343,3,3,0,"lt10k","yes"
39,"15to18",267,2,2,1,"lt10k","yes"
41,"25to30",186,1,1,1,"lt10k","no"
37,"20to22",205,1,1,1,"lt10k","yes"
42,"25to30",136,1,1,1,"lt10k","yes"
47,"25to30",262,3,3,2,"lt10k","no"
39,"22to25",206,1,1,1,"lt10k","yes"
49,"30toInf",62,0,0,0,"lt10k","yes"
31,"20to22",129,1,1,0,"lt10k","yes"
42,"22to25",232,4,4,2,"lt10k","no"
34,"20to22",160,2,2,2,"lt10k","yes"
31,"20to22",110,1,1,0,"lt10k","yes"
37,"18to20",225,4,4,1,"lt10k","yes"
37,"25to30",146,2,2,2,"lt10k","yes"
23,"22to25",16,1,0,0,"lt10k","yes"
37,"20to22",197,1,1,0,"lt10k","yes"
27,"18to20",116,2,2,2,"lt10k","yes"
41,"15to18",290,2,2,1,"lt10k","yes"
26,"22to25",51,1,1,0,"lt10k","yes"
23,"18to20",67,1,1,1,"lt10k","yes"
47,"22to25",274,3,3,2,"lt10k","yes"
21,"18to20",27,1,1,1,"lt10k","yes"
27,"15to18",125,2,2,2,"lt10k","yes"
43,"22to25",239,2,2,1,"lt10k","yes"
41,"25to30",139,2,2,1,"lt10k","yes"
38,"22to25",169,2,2,1,"lt10k","yes"
25,"18to20",64,1,1,0,"lt10k","yes"
48,"20to22",328,1,1,0,"lt10k","no"
45,"20to22",294,2,2,2,"lt10k","yes"
36,"25to30",139,1,1,0,"lt10k","yes"
33,"22to25",121,1,1,0,"lt10k","yes"
39,"22to25",182,2,2,0,"lt10k","yes"
42,"18to20",278,5,5,3,"lt10k","yes"
29,"15to18",146,2,2,2,"lt10k","yes"
34,"22to25",143,1,1,1,"lt10k","yes"
33,"22to25",120,2,2,1,"lt10k","yes"
45,"25to30",219,2,2,0,"lt10k","yes"
21,"15to18",60,1,1,1,"lt10k","yes"
48,"25to30",185,1,1,0,"lt10k","yes"
24,"18to20",71,2,2,1,"lt10k","yes"
46,"20to22",303,4,4,3,"lt10k","no"
42,"30toInf",64,0,0,0,"lt10k","yes"
42,"30toInf",126,1,1,1,"lt10k","yes"
35,"18to20",209,2,2,2,"lt10k","yes"
32,"22to25",116,1,1,0,"lt10k","yes"
47,"22to25",287,2,2,2,"lt10k","yes"
48,"22to25",321,2,2,1,"lt10k","no"
25,"18to20",79,1,1,1,"lt10k","yes"
32,"22to25",98,1,1,1,"lt10k","yes"
37,"15to18",248,2,2,2,"lt10k","yes"
41,"22to25",220,2,2,1,"10-20k","yes"
42,"15to18",304,4,4,3,"10-20k","yes"
25,"20to22",59,4,4,0,"10-20k","yes"
32,"18to20",141,3,3,1,"10-20k","yes"
30,"18to20",128,2,2,1,"10-20k","yes"
39,"20to22",225,2,2,1,"10-20k","yes"
30,"22to25",95,2,2,1,"10-20k","yes"
32,"20to22",133,2,2,2,"10-20k","yes"
27,"20to22",79,2,2,1,"10-20k","yes"
34,"18to20",191,2,2,1,"10-20k","yes"
34,"25to30",108,1,1,1,"10-20k","yes"
34,"18to20",190,6,6,4,"10-20k","yes"
23,"18to20",51,3,3,2,"10-20k","yes"
37,"22to25",180,1,1,1,"10-20k","yes"
33,"25to30",72,2,2,2,"10-20k","yes"
39,"25to30",159,2,2,0,"10-20k","no"
22,"20to22",28,2,1,1,"10-20k","yes"
31,"20to22",114,2,2,2,"10-20k","yes"
30,"20to22",109,2,2,0,"10-20k","yes"
35,"22to25",154,1,1,0,"10-20k","yes"
21,"20to22",15,0,0,0,"10-20k","yes"
34,"22to25",121,1,1,1,"10-20k","yes"
36,"25to30",120,2,2,0,"10-20k","yes"
